id;name;slug;description;image_url;look_image_url
1;beautifully;vague hateful physically;../fake-data/blob/hipster.txt;lovable that;so oh kinase
2;substantial sure-footed incidentally;ack;../fake-data/blob/hipster.txt;beneath yowza;unlike fold
3;oh;gah unto while;../fake-data/blob/hipster.txt;yippee;aw
4;because even;repeatedly past;../fake-data/blob/hipster.txt;inside partially;whimsical
5;pastel;as;../fake-data/blob/hipster.txt;gadzooks;hefty hmph hm
6;clearly;however serve;../fake-data/blob/hipster.txt;selfish fairly;tackle overload
7;soon rebuke veg;save enfold for;../fake-data/blob/hipster.txt;as rightfully close;in-joke
8;trial and unexpectedly;provided charter an;../fake-data/blob/hipster.txt;finally against;exalt yuck aside
9;where;mooch unlike;../fake-data/blob/hipster.txt;hence;snappy amid
10;wetly;easily;../fake-data/blob/hipster.txt;reasonable hairy;boo glider monthly
