id;type;points;description;created_at
1;EARNED;23427;uh-huh after viciously;2025-11-05T15:04:11
2;EARNED;7966;pace;2025-11-06T01:22:29
3;EARNED;8142;meanwhile mmm scramble;2025-11-05T20:51:17
4;REDEEMED;15272;mathematics whoa form;2025-11-05T12:55:06
5;EARNED;3208;yarmulke foolishly;2025-11-06T10:07:44
6;REDEEMED;2331;oblong orient longingly;2025-11-06T01:28:08
7;ADJUSTMENT;25349;but farm pish;2025-11-05T18:18:18
8;EARNED;18821;oof idolized;2025-11-05T23:17:47
9;ADJUSTMENT;11358;yahoo gnaw powerful;2025-11-06T05:53:46
10;REDEEMED;14511;uh-huh whoever conservation;2025-11-05T18:20:49
