id;message;type;is_read;link;created_at
1;lavish scarily;NEW_QA;true;blink;2025-11-06T09:52:46
2;whisper provided yippee;LOW_STOCK;true;woefully;2025-11-05T12:47:17
3;at navigate gee;LOW_STOCK;false;delete loftily outside;2025-11-06T09:28:38
4;edible aw swelter;NEW_CUSTOMER;false;not hence tragic;2025-11-05T17:48:44
5;yum rudely;ORDER_UPDATE;false;linear lest saw;2025-11-06T09:11:30
6;who;NEW_ANSWER;false;why save evenly;2025-11-06T01:39:58
7;celebrate;NEW_CUSTOMER;true;doorpost thrifty;2025-11-06T04:31:13
8;to fowl hence;LOW_STOCK;false;shrilly;2025-11-05T22:37:29
9;upwardly;NEW_ORDER;false;handsome;2025-11-05T12:04:33
10;hunger;NEW_ORDER;true;failing;2025-11-05T19:12:00
