id;code;name;slug;description;status;category;material;average_rating;review_count;images;created_at;updated_at
1;acidly likewise;colorfully of;gum;../fake-data/blob/hipster.txt;INACTIVE;square;doodle unto creamy;4.34;97;../fake-data/blob/hipster.txt;2025-11-06T10:16:36;2025-11-06T02:51:41
2;ack;a regarding to;thorough serpentine;../fake-data/blob/hipster.txt;DRAFT;vainly magnificent naturally;soupy elliptical;2.62;14730;../fake-data/blob/hipster.txt;2025-11-06T00:42:28;2025-11-06T02:52:55
3;within;defensive aside;helpfully;../fake-data/blob/hipster.txt;INACTIVE;persecute pfft;mooch lest phew;1.97;18629;../fake-data/blob/hipster.txt;2025-11-06T10:09:44;2025-11-05T16:03:53
4;into winged winding;aged cow;uh-huh;../fake-data/blob/hipster.txt;DRAFT;hierarchy;when cardboard;4.91;311;../fake-data/blob/hipster.txt;2025-11-06T01:22:44;2025-11-06T10:20:23
5;along abnormally cute;pfft;diligently culture sternly;../fake-data/blob/hipster.txt;ACTIVE;repeatedly intend;wheel;3.4;15095;../fake-data/blob/hipster.txt;2025-11-05T20:46:50;2025-11-05T18:25:26
6;inspect past plus;abnormally along unto;owlishly;../fake-data/blob/hipster.txt;INACTIVE;service calculus;certainly homeschool;4.53;8583;../fake-data/blob/hipster.txt;2025-11-05T18:48:35;2025-11-06T05:28:55
7;retool;wasteful;within;../fake-data/blob/hipster.txt;INACTIVE;blah who norm;fuss;1.18;5114;../fake-data/blob/hipster.txt;2025-11-05T18:49:46;2025-11-06T11:15:34
8;painfully dredger;char bourgeoisie impassioned;provided reconstitute calmly;../fake-data/blob/hipster.txt;ACTIVE;amidst stingy powerfully;apud besides bah;3.6;23543;../fake-data/blob/hipster.txt;2025-11-06T02:43:13;2025-11-05T16:29:17
9;given yowza quickly;off couch;uncommon apud coexist;../fake-data/blob/hipster.txt;INACTIVE;monthly;provided;3.15;23529;../fake-data/blob/hipster.txt;2025-11-06T04:03:03;2025-11-05T21:30:49
10;jaggedly who once;neglect mmm another;fervently;../fake-data/blob/hipster.txt;DRAFT;quickly pish indeed;upliftingly emboss;0.4;19068;../fake-data/blob/hipster.txt;2025-11-05T16:50:15;2025-11-06T01:29:06
