id;author;answer_text;created_at
1;when up;../fake-data/blob/hipster.txt;2025-11-05T15:58:24
2;institute apud;../fake-data/blob/hipster.txt;2025-11-05T21:52:34
3;confound concerning;../fake-data/blob/hipster.txt;2025-11-05T23:40:28
4;dreary tragic;../fake-data/blob/hipster.txt;2025-11-06T01:24:11
5;gosh;../fake-data/blob/hipster.txt;2025-11-05T14:16:13
6;bog decode juggernaut;../fake-data/blob/hipster.txt;2025-11-05T12:45:07
7;qua gadzooks submitter;../fake-data/blob/hipster.txt;2025-11-05T15:59:08
8;off;../fake-data/blob/hipster.txt;2025-11-06T11:22:00
9;flash;../fake-data/blob/hipster.txt;2025-11-05T20:04:04
10;off;../fake-data/blob/hipster.txt;2025-11-05T23:02:44
