id;author;question_text;status;created_at
1;rebuild anenst;../fake-data/blob/hipster.txt;HIDDEN;2025-11-06T10:53:30
2;phooey ugh fen;../fake-data/blob/hipster.txt;PENDING;2025-11-06T10:18:15
3;pant scram;../fake-data/blob/hipster.txt;PENDING;2025-11-06T09:35:42
4;junior strict;../fake-data/blob/hipster.txt;PENDING;2025-11-05T15:56:27
5;yum;../fake-data/blob/hipster.txt;HIDDEN;2025-11-06T05:42:21
6;blaspheme char acidly;../fake-data/blob/hipster.txt;HIDDEN;2025-11-06T01:33:42
7;glum likewise worth;../fake-data/blob/hipster.txt;PENDING;2025-11-06T11:19:20
8;merge imaginative unit;../fake-data/blob/hipster.txt;HIDDEN;2025-11-06T03:02:00
9;ha moisten beyond;../fake-data/blob/hipster.txt;ANSWERED;2025-11-05T16:03:04
10;nor;../fake-data/blob/hipster.txt;PENDING;2025-11-06T02:38:29
