id;quantity_change;note;reason;created_at
1;11619;amidst;SALE;2025-11-06T10:24:29
2;20104;curry slipper athwart;SALE;2025-11-06T02:14:32
3;12441;yippee at oof;INITIAL_STOCK;2025-11-05T14:05:16
4;25322;murky vice;SALE;2025-11-05T13:59:57
5;10903;variable;RETURN;2025-11-06T02:02:34
6;1946;pastel;SALE;2025-11-06T00:07:47
7;9680;revoke after;SALE;2025-11-05T13:36:02
8;11382;huddle;INITIAL_STOCK;2025-11-05T15:59:14
9;27819;volunteer;ADJUSTMENT;2025-11-06T10:04:52
10;31085;considerate truly;RETURN;2025-11-05T18:27:05
