id;code;type;value;status;start_date;end_date;usage_limit;usage_count
1;breastplate pendant;FIXED_AMOUNT;24578.98;ACTIVE;2025-11-05T14:30:17;2025-11-06T03:16:29;29842;28492
2;provided where large;FIXED_AMOUNT;8987.17;EXPIRED;2025-11-05T16:54:45;2025-11-06T06:18:17;19895;13249
3;phooey sesame;FIXED_AMOUNT;4916.01;EXPIRED;2025-11-05T22:29:22;2025-11-05T18:08:32;6859;9752
4;ah;FIXED_AMOUNT;21339.28;ACTIVE;2025-11-06T03:43:02;2025-11-06T01:16:50;15916;7470
5;fondly during;FIXED_AMOUNT;5742.91;ACTIVE;2025-11-06T04:49:21;2025-11-05T16:51:30;10685;31848
6;for;FIXED_AMOUNT;19268.61;ACTIVE;2025-11-05T22:18:35;2025-11-06T11:32:10;18447;25480
7;honestly after if;FIXED_AMOUNT;5106.51;EXPIRED;2025-11-05T22:34:37;2025-11-06T07:43:59;4363;6592
8;energetic;PERCENTAGE;24002.32;ACTIVE;2025-11-05T17:44:08;2025-11-05T17:49:25;31575;2896
9;eek meh yummy;PERCENTAGE;19621.11;EXPIRED;2025-11-05T14:43:45;2025-11-06T06:46:19;27861;18917
10;vibration tightly instead;FIXED_AMOUNT;11679.19;ACTIVE;2025-11-06T03:02:20;2025-11-05T20:18:08;21514;29081
